,summary,Klima,Anpassung,Sommer,Schule,word
Waschsalon.Am,2.297838667497868,-0.22926590788715134,0.5660439794736002,-0.3089088940683444,0.019741675671295696,Waschsalon.Am
weise waschsalon.am,2.297838667497868,-0.22926590788715134,0.5660439794736002,-0.3089088940683444,0.019741675671295696,weise waschsalon.am
28.,2.2553009240079933,-0.21058034804459955,0.5369628566703232,-0.29022333422579255,0.03842723551384747,28.
waschsalon.am 28.,2.2553009240079933,-0.21058034804459955,0.5369628566703232,-0.29022333422579255,0.03842723551384747,waschsalon.am 28.
Juli,3.7100588042181872,-0.7083446632269338,0.027448337924723697,-0.3494540282654155,1.7349331983132399,Juli
28. juli,2.2451447053787064,-0.20606691239543767,0.52972608875622,-0.28570989857663076,0.04294067116300944,28. juli
1914,2.8904695162876064,-0.45871588785163325,0.26333945715246215,0.1146162745098714,-0.20970830429318638,1914
juli 1914,2.2334209812425745,-0.2008314188308505,0.5212239261732451,-0.28047440501204346,0.04817616472759657,juli 1914
1914 brech+t,2.2226399037717464,-0.19599257179303203,0.5132609257747776,-0.27563555797422523,0.053015011765414725,1914 brech+t
brech+t de…,2.208903078244058,-0.18979298416353818,0.5029078024392224,-0.2694359703447314,0.05921459939490885,brech+t de…
+912,2.1999281954311316,-0.1857216579308515,0.49601460904493433,-0.2653646441120446,0.0632859256275954,+912
de… +912,2.1999281954311316,-0.1857216579308515,0.49601460904493433,-0.2653646441120446,0.0632859256275954,de… +912
+912 chars,2.1915604915148834,-0.18191077982567141,0.4894933088939989,-0.2615537660068645,0.06709680373277545,+912 chars
Medicine,3.0177948354412556,0.1784393178572582,-0.4618217071816992,0.08742821860472272,-0.25281573071164454,Medicine
nature medicine,3.0177948354412556,0.1784393178572582,-0.4618217071816992,0.08742821860472272,-0.25281573071164454,nature medicine
medicine studie,2.728934502781551,0.08499650531683035,-0.3612065704429334,0.11239443174953696,-0.15220059397287883,medicine studie
studie warn+t,2.8140434297702033,0.06577616678321996,-0.3919177214892229,0.1381571377986575,-0.18291174501916835,studie warn+t
warn+t million+en,3.020342091942565,0.013180014576140963,-0.4626654299004954,0.19771169886706527,-0.253659453430441,warn+t million+en
Hitzetoten,7.5064467519570455,-0.06577106962525596,-1.3730575477050107,0.42900934649757966,-1.1640515712349562,Hitzetoten
million+en hitze+tot+en,3.711525382886051,-0.1722576717780111,-0.6687382759864822,0.3508196862877106,-0.45973229951642774,million+en hitze+tot+en
hitze+tot+en europa,5.873961630107133,0.37207598151352556,-1.127824630048872,0.12044209933338278,-0.9188186535788175,hitze+tot+en europa
europa noch,2.8882635987119554,0.1332657660396274,-0.4179508201088381,0.10288183399576079,-0.20894484363878363,europa noch
sterben,3.2792661011551574,0.22803920718600826,-0.5449149771637766,0.08084072768427984,-0.3359090006937223,sterben
noch sterb+en,2.8508357066970285,0.16251708257093447,-0.4049075111681613,0.07573332551513502,-0.19590153469810678,noch sterb+en
sterb+en europa,2.97682632492021,0.08270707181848584,-0.4481530708244725,0.14956541390377526,-0.23914709435441803,sterb+en europa
europa mehr,2.8936505773678487,0.2225614605893335,-0.4198142100003421,0.03426366098933264,-0.2108082335302876,europa mehr
mensch+en kälte,3.2399557756881268,0.22489978700046756,-0.5328550096833391,0.07882425303159606,-0.32384903321328445,mensch+en kälte
kälte hitze,3.711525382886051,-0.1722576717780111,-0.6687382759864822,0.3508196862877106,-0.45973229951642774,kälte hitze
klima+wandel dürf+te,3.281790253449581,0.3622049983355899,-0.5456844119262698,-0.04203404026191417,-0.3366784354562152,klima+wandel dürf+te
dürf+te verhältnis,3.0063811473700683,0.30902528137983165,-0.45803240827642944,-0.026857383032048696,-0.24902643180637482,dürf+te verhältnis
umkehren,2.8480574517267896,0.2782718083999873,-0.4039324954543717,-0.022636360724507573,-0.19492651898431712,umkehren
verhältnis um+kehr+en,2.8480574517267896,0.2782718083999873,-0.4039324954543717,-0.022636360724507573,-0.19492651898431712,verhältnis um+kehr+en
Mittelmeerraum,2.6443099376201076,0.23771912616543972,-0.3297054675736561,-0.02207845352634262,-0.12069949110360151,Mittelmeerraum
um+kehr+en mittelmeer+raum,2.6443099376201076,0.23771912616543972,-0.3297054675736561,-0.02207845352634262,-0.12069949110360151,um+kehr+en mittelmeer+raum
mittelmeer+raum laut,2.5519344401917747,0.21860189616170608,-0.2941470050237642,-0.023609330632990252,-0.08514102855370954,mittelmeer+raum laut
laut studie,3.0505835888100505,0.47987237031717167,-0.47262824236073203,-0.21928605288446287,-0.2636222658906774,laut studie
studie betreff+en,2.488320862740014,0.20502418192975724,-0.2689034601368044,-0.02529905968942006,-0.05989748366674982,studie betreff+en
Durch,5.880760819479486,0.4224518967707884,-1.1289814740594024,0.07327781830261185,-0.9199754975893478,Durch
durch extrem+e,2.4414447268493116,0.19474846637426446,-0.24988529470135692,-0.026871581840736052,-0.04087931823130229,durch extrem+e
extrem+e temperatur+en,2.994700899923918,-0.021473281699115405,-0.4541396895621775,0.2142102673931914,-0.2451337130921231,extrem+e temperatur+en
